Participant #,Sex,Age,Condition Order,Experimenter,Assistant Experimenter,Bracelet,Handedness,Ramon's Study?,Date of Session,Start Time of Session,End Time of Session,# of Localization Blocks (1-3),Final Localization Accuracy,Notes,Manual data cleaning
21,f,31,TA,Piper,Florian ,White,Right,No,03.04.2023,1000,1100,1,100,"Left-right issues (only in auditory condition), fruits at positions 2,4 and 5 touched before experiment started, restarted tactile block 1 twice because P did not understand instructions properly after explanation of experimental procedure, in auditory (2nd) condition P was already jumping from pos to pos instead of moving continuously, we forgot to instruct to lift up the fruits slightly, note: shorter inter-trial times propably motivate P to move faster in trials",Tactile 1
22,m,26,AT,Piper,Florian,White,Right,No,03.04.2023,1335,1425,1,97.916,"chair made loud noises in auditory condition, idea of him: adjust vibrations according to wrist size, T B2,7: vibrated a little longer after pressing ""s"", Moved left motor a bit down after T B3,2",
23,f,21,AT,Florian,Piper,White,Right,No,03.04.2023,1458,1549,1,100,"3rd trial of first block in auditory logged incorrectly as S by experimenter (manually fixed in data), 3rd trial of last block tactile grasping command didn't work (stayed in last direction but still printed grasp in terminal), recording forgotten for auditory condition, pear was hard to grasp",
24,f,27,TA,Florian ,Piper,White,Right,No,03.04.2023,1656,1804,2,93.75,"had issues distinguishing down/right and up/right (esp. latter), tactile example stimuli presented 3 times with the second 2 presenting up and down next to left and right versus in opposite pairs like we've been doing, recording forgotten for tactile condition, chair lowered itself after the 5th trial in the first auditory block, in tactile grasping initially tried to move diagonally and was corrected, pear was hard to grasp, needed more time in localization but eventually got better",
25,m,26,AT,Florian ,Piper,White,Right,No,04.04.2023,1036,1129,1,100,"up/down was harder to differentiate, program had an error on second trial in 8th block of tactile (grasping command didn't work, bracelet kept with last directional command, left)",
26,m,31,TA,Piper,Florian ,White,Right,No,04.04.2023,1408,1456,1,100,"guidance to wrong pos in T1,?, program error in T2,3 (kept vibrating left instead of grasp), P grasped in T4,8 instead of moving up, E1 waited for giving verbal command after starting the trial in A5,4, ~""I would be faster if I had started with the other condition""",
27,f,28,TA,Florian ,Milad,White,Right,No,04.04.2023,1702,1758,1,95.8,"first two trials of first block she was not ready, said has left-right distinction issues but it was not noticable, saw glimpse of grapes, small wrist (15cm circumference) but did not cause problems",
28,m,33,AT,Milad,Piper,White,Right,No,06.04.2023,1707,1816,1,91.67,"P complained of arm pain in both conditions and needed to take a 30 sec break after the 5th block in both conditions as well as in the middle of the 6th in auditory and before the 7th in tactile, P took off the mask when trying to communicate with the experimenters and get more comfortable before the tactile condition (mask itself was not the issue, height of chair and arm pain, but did see fruits), bracelet slipped during adjustment of the chair height before the tactile grasping and was replaced and the example stimuli for localization run to make sure the motor positions were still distinguisable (this was done at the stimulus shelf as P was already there), P expressed that movement up after a left command was harder because for some reason moving to the left resulted in the motor positions being less clear (video checked and P wasnt tilting wrist so no idea what the issue was here), P said distinguishing the motors in the grasping task itself was harder because he was having to focus on so many things, particular issues with the up command, bottom motor was not in staggered position correctly",
29,m,-,TA,Milad,Piper,White,Right,No,07.04.2023,0950,1052,1,93.75,"P said up versus left was hard, P mentioned that it would be easier to distinguish motors if his wrist was thicker, top motor moved slightly backwards to help with distinguising after localization was completed, P guessed the locations of the fruits before the first grasping trial, P started the tactile grasping without the helmet clipped (corrected between 3rd and 4th blocks), last trial on 5th block tactile had the same grasp not working after left command error, other exFail was due to guiding P to wrong fruit, P's tend to look at bracelet during localization, P said language barrier had an effect as English is not his first language and he therefore had to translate the verbal commands first before obeying which slowed him down in auditory, also said he had right/left challenges with verbal, sd he felt he was slower in tactile but made less mistakes because no language or left/right issues there but that auditory was faster but with more mistakes (might not align with actual performance), P said was also flexing arm muscles at times and this made distinguishing in tactile difficult (reason for flexing unknown)",
30,f,26,AT,Milad ,Piper,White,Right,No,07.04.2023,1124,1215,1,97.91,"5.7 exFail in auditory was because trial was because exp started the clock and then had a discussion with P so trial had to be repeated, P took off blindfold at start of break and saw shelf before it was recovered, P said the left motor made a different noise that made it easier to distinguish from the others, had trouble with right/down and up/right, up/down slightly hard, right motor moved up a bit b/t 2.2 and 2.3 in tactile to help with distinguishing, 2.2 was D but exp hit ExFail so it was repeated, 2.3 was used for training with the new right motor position and was then repeated, P said it was odd taking direction commands from the bracelet b/c not used to that kind of thing but that you do get used to it, mentioned the grapes",delete 2.2 rep (tactile)?
,,,,,,, ,,,,,,,,
