"Timestamp","I was in fear of hitting the shelf or objects during the task.","I felt secure during the task.","The tactile bracelet is comfortable to wear.","The vibration from tactile bracelet felt uncomfortable on my hand.","The vibration motors were positioned correctly on my arm.","I could feel the vibration cues on my wrist from the tactile bracelet.","The intensity of vibration varied strongly.","I found the vibration intensity to be consistent.","I could identify the vibration locations without much effort.","It was difficult for me to interpret the vibration cues from the tactile bracelet.","The practice trials were sufficient to get comfortable with using the tactile feedback.","I relied on the vibration signals from the tactile bracelet to grasp an object.","Mainly my intuition guided my hand movement during the task."," I felt confident using the tactile bracelet to locate and grasp an object.","I was able to develop a spatial understanding of the shelf.","I waited for instructions before reaching to grasp an object.","I was anticipating the grasping motion.","Please describe your general experience with the tactile bracelet itself. ","Please describe your general experience with the grasping task","Do you have any other comments for us?",""
"2023/03/08 3:03:37 pm EET","3","4","3","2","3","5","2","4","3","3","5","5","2","4","5","3","4","The tactile bracelet was good to understand. Only when up-vibrations came I was waiting a bit to notice if it was an up-vibration or and pulse for grasping, as these happened in the same motor.","","",""
"2023/03/10 4:55:07 pm EET","1","5","5","1","4","5","1","5","2","3","3","4","3","3","5","4","5","It took a me quite a while to get used to the vibrations and not mix up the directions. Sometimes I would also intuitively grasp the object. The bracelet was very comfortable and easy to work with. When I lost focus it was also harder to follow the instructions because I really had to concentrate during the Experiment.","Some objects were harder to grasp than others and I immediately forgot which object was in which position, so  I was always surprised when grasping an object. The Vibrations for the grasping motion were very clear, however sometimes I accidentally automatially grasped the object.","",""
"2023/03/10 5:07:51 pm EET","1","3","4","2","4","5","1","4","1","4","2","5","3","2","5","4","4","The bracelet was comfortable to wear, though the part on  the upper arm got pretty heavy over time. As the trials continued it got more difficult to differentiate the direction of the vibration. It was pretty exhausting to continue the task . The vibration was really intense, potentially overwhelming.","I felt mostly confident during the task. The objects were mostly easy to grasp. But the grapes felt like the odd one out.","",""
"2023/03/16 7:57:17 pm EET","1","5","2","4","5","5","2","4","3","4","2","3","3","2","5","3","4","It was interesting and once you got used to it it got a little more intuitive though it was sometimes hard to make out which electrode vibrated since the vibration intensity was so strong that I could feel it in my whole lower arm. Another problem was that my arm got a little numb after some time because the intensity was a bit too high. ","It was alright and I was able to get familiar which the setup pretty quickly. ","",""
"2023/03/20 5:34:48 pm EET","1","5","4","1","4","4","1","5","2","4","2","5","2","4","5","3","4","The fit was alright. Tough I had to readjust the position. During the task itself I had some struggles correctly interpreting up and down vibrations although I felt them differently.   ","","",""
"2023/03/22 4:19:52 pm EET","3","5","2","2","4","5","1","5","2","2","5","4","3","4","5","4","5","as a prototype great, vibrations sometimes where hard to localize when the hand angle changed, but overall easy to sense. I had to translate the felt vibration into language (“up”, “down”, etc) in my mind, which felt a bit less intuitive than just listening to instructions, but I believe with training this will become more intuitive and less of a mental task.","took a while to get used to, but then easily understood and doable. I actually started seeing the shelf in front of me, even though my eyes were closed, and remembered where which fruit was an which were a bit harder to grasp.","Thanks for the experience and the nice talk <3",""
"2023/03/22 6:41:21 pm EET","1","5","5","1","5","5","1","5","4","2","5","4","3","5","5","4","3","First it was unfamiliar to rely on the vibration, but after a short time i got used to the feeling. ","It was fun and a new experience to only rely on one sense. I was surprised how well i could find back to the referencepoint. ","""Mainly my intuition guided my hand movement during the task."" instead of being guided by the bracelette? Didn't understand this question, sorry. ",""
"2023/03/24 1:19:49 pm EET","1","5","5","1","4","5","1","5","4","4","4","4","5","5","5","3","5","It was an interesting new experience using the tactile bracelet. Being guided by vibrations on my arm made navigating blindfolded (way) easier than I expected. The duration of the vibration hinted the distance I had to move well and I never felt lost in the shelf/positioning of my arm during the experient. 
The bracelet itself was light and comfortable enough to (incase) carry it around in every-day life. As mentioned in a quick chat after the experiment, it was - at some points - at the first second not completely clear after moving left/right whether I had to move up or I had to grasp the object. It may be considered to change the vibration into a) all sensors are vibrating or b) the last direction starts vibrating when the final position is reached.
Generally spoken, am I impressed by the idea of this tactile bracelet :)","During the grasping task, I could really feel the difference between feeling the vibration as an indication or being told in which direction I should move. Eventhough I normally don´t have a problem determining right and left, it was at the first second harder to decide the direction. This may be connected with guessing the direction I had to move next, though.
All in all, had I the feeling that it sometimes took me a millisecond more to understand where to move in comparison to the task with the tactile bracelet.","Not more than: I´m super invested to see where this could turn into in the future and I want to thank you that you innovate something like this that could change blind people´s life in general! Good luck for your future!!",""
"2023/03/28 8:54:05 pm EET","1","5","4","1","4","5","1","5","4","2","5","4","3","5","5","4","4","I got used to the bracelet very fast, and it was easy to let myself be guided by it. The only negative aspect was that the positioning of the respective vibrators was difficult to optimize, because the left one was too close to the top one at first and then very close to the bottom one. I only asked for the left one to be moved when it might have been smarter to also move the top and bottom one a little further to the right. ","In the beginning, it became clear pretty fast that once a movement up or down was required, the only thing left to do was grasping the object, so at first I started anticipating the grasping. Once I was told not to do so, it was easy to relax and wait for the instructions.
It was interesting to get a feeling of the spatial arrangement of the shelf and the fruits and being told beforehand to try to be as fast as possible was fun because it gave me the feeling of a challenge and made me want to actually perform well. ","",""
"2023/04/03 12:36:11 pm EET","1","5","5","1","5","5","2","5","5","1","4","5","1","5","4","4","3","It was a very interesting experience, and actually I felt more confortable following the instructions from the tactile bracelet more that the speaking instructions. Very often I have problem with following correctly left-right instructions by voice command (even in my own language, Spanish), and more than once I’ve took the wrong route for example following google maps or things like that. With the tactile bracelet and the vibrations its easier not to get confused in that sense and I feel more confident while following those instructions. ","It was ok, but maybe it would be necessary to give the instructions a bit slower, because at the begining was hard to completely understand what I needed to do, because I though I had understood the instructions, but when we did the trial I realized that I didn't  really understand what I needed to do and made lots of mistakes until I really got the task. Maybe was just because the instructions where fast, or maybe because while I'm learning something new I normally heard and watch the instructions; because I was blindfolded I wasn't able to see while hearing and maybe that made it harder to grasp the instructions completely the first time ","",""
"2023/04/03 8:13:51 pm EET","1","4","4","2","3","5","3","3","3","2","4","4","3","4","4","4","4","It was quite comfortable to wear and, if placed right, quite helpful and clear. When not placed correctly the vibrating signs could be really easily confused","It was in general an easy and fun task. The only comment I'd have is that some objects were harder to grasp that others and that difficult Ed or at least slightly affected my ""reaching"" behavior ","",""
"2023/04/05 1:09:24 am EET","1","5","2","4","5","5","2","4","5","1","5","5","1","5","5","3","5","The different cues were surprisingly well distinguishable for me, though it might have been more difficult due to the small size of my arm. I felt the vibration rather inside my arm than on my skin. The left/right cues were easier to distinguish than the up/down cues, since the motors were each placed upon one of my two underarm bones. Also the up cue was ""clearer"" than the down cue, probably because the up one was placed right upon the tendon reaching to my middle- and ring finger. The down cue stimulated several muscles/rather ""soft"" parts of my arm which spread the vibration and made it feel a bit ""fuzzy"" compared to the others. Maybe a bit less intense vibration and smaller motors would make it easier to locate the position on the skin as well.","When I was instructed to the set up (blind already) and shown the three shelves, I actively thought about how to relate their position to my body so I could find them again without help (upper shelf  - my forehead; middle shelf - chest; lower shelf - knee). For the left/right dimension, it helped that I sat next to the (covered) shelf before and knew its width in relation to my body. So initially I got a spatial orientation by some active thinking, but of course after a few tasks that got more and more intuitive. I relaxed and felt acting robot-like. I also had some visual imagination of the fruits and knew their position after some tasks, but I didn't have a visual imagination of the whole shelf, only of the single fruits that I grasped at that moment.","",""
"2023/04/05 1:16:13 am EET","3","5","5","1","5","5","1","5","5","1","5","5","3","5","5","5","3","It worked well, the signals were clear and distinguishable. For the pulsing it always took a while to recognize that it was pulsing, instead of indicating to move up, which is why the reactiontime for grasping might be slower than for the movement directions","Doing the task but also trying to be as fast as possible while also moving the camera to the right position, while also moving my hand along the shelf in a continuous motion instead of just immediately skipping to the fruit positions and not anticipating the grasping, was a lot to keep in mind at once.","",""
"2023/04/06 11:11:27 am EET","1","5","4","1","5","3","1","5","5","1","5","5","4","5","5","4","3","I enjoyed the process of using the tactile bracelet. It felt quite straight forward once I had experienced the signals how to use it. I can imagine after practicing for a while it could become quite automatic and intuitive. I noticed there was more effort and focus on the signal and the task in the beginning than towards the end, so I definitely got better at it and it required less effort over time. ","I definitely got more used to the motor sequence, of reaching for each object and returning to the starting spot, towards the end. But I was not anticipating the grasping movement or where we were likely to go next. I let the signal guide me. Of course when moving faster I felt less confidence but overall I think it was quite good in combination with the bracelet.","Thanks",""
"2023/04/07 3:56:33 pm EET","3","2","2","3","4","4","1","4","4","2","3","5","2","2","4","5","2"," - For relatively thin hands, it becomes more difficult to recognize the directions because the vibrators are located relatively closer.

 - The detection of vibration varies depending on the body tissue. In soft parts, vibration is better recognized than in hard parts (for example, on the bone).","I think:

 - reference point is very important in this case because we can easily lose the objects’ location by losing the reference point. 

 - as there is no clear sign for front and back, participants must intuitively adjust the front and back distance.

 - trust in the system is achieved over time. Any failure can cause users to refer to their own senses rather than rely on the system, or simply ignore it. So, we should use infallible systems (such as Poka-yoke) to have a safe and reliable system.
","The design of a reliable system is very important because, with the decrease in trust in the system, the stress of users increases when using it. The increase in stress that is associated with the tightening of the muscles reduces the correct detection of the intensity, duration, and direction of the vibration, which ultimately increases the error in using the system.
",""
"2023/04/07 9:12:24 pm EET","2","5","3","2","4","5","1","4","4","2","5","5","3","5","5","4","3","Many cables but not uncomfortable at all","Very interesting to see how you can actually get used to receiving and understanding the information from the bracelet and turning it into a ""command"" for hand movements","",""
"2023/04/12 11:41:03 pm EET","1","5","2","2","4","4","5","5","3","2","4","4","1","5","3","4","3","Needed a bit of getting used to since I am not used to something like that but I got better at recognising the vibrations as the experiment went on","The task was logical & simple which helped especially when you have a vibrating device on your arms that feels very different","",""
"2023/05/24 4:26:14 pm EEST","1","5","3","1","2","5","2","5","2","3","5","5","1","3","5","5","4","vibration zu gleichmäßig, auch zu groß -> räumlichkeiten schwer erfassbar (lr,ou)","war leicht. nicht 3 sondern 4 früchte nebeneinander -> vielleicht für später","ansatz ist super, auf einem arm lassen (nicht auf zwei), lokal belassen ist gut. ist auch unauffällig (fällt nicht auf bei uhren etc). Gummizug vs. klettverschluss vs schiebeelement (an zwei parallelen schienen) auf schiene zum verschieben beim armband.",""
"2023/06/22 3:20:56 pm EEST","1","5","4","1","2","5","1","5","5","2","5","5","2","5","5","4","3","Armband muss genau richtig adjustiert sein, sonst kann man manchmal Richtungen verwechseln.","","",""
